"filename", "language", "JavaScript", "HTML", "Ini", "PostCSS", "comment", "blank", "total"
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\layerSupport.js", "JavaScript", 270, 0, 0, 0, 4, 31, 305
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\loader.js", "JavaScript", 13, 0, 0, 0, 1, 3, 17
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\options.js", "JavaScript", 92, 0, 0, 0, 1, 10, 103
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\particleSystem.js", "JavaScript", 168, 0, 0, 0, 2, 21, 191
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\save.js", "JavaScript", 305, 0, 0, 0, 4, 22, 331
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\systemComponents.js", "JavaScript", 325, 0, 0, 0, 0, 11, 336
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\temp.js", "JavaScript", 192, 0, 0, 0, 3, 23, 218
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\themes.js", "JavaScript", 205, 0, 0, 0, 1, 3, 209
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\tree.js", "JavaScript", 21, 0, 0, 0, 1, 4, 26
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\utils.js", "JavaScript", 400, 0, 0, 0, 8, 55, 463
"Total", "-", 22671, 214, 2, 852, 332, 1691, 25762
